country,lifeEx_m,lifeEx_f,married_by_18,mobile_money_m,mobile_money_m,employment_m,eomployment_f,firm_f_ownership,share_senior_f,parlia_w
Tuvalu,..,..,..,..,..,..,..,..,36.7,6
Uganda,61.3,66,34,66.1,52.7,28.3,16.8,26.6,25.5,34
Ukraine,66.4,76.2,..,65,61.3,82.8,87.6,32.2,..,21
United Arab Emirates,77.4,79.5,..,92.7,76.4,95.2,94.4,..,12.2,50
United Kingdom,79,82.9,0.1,96.7,96.1,80.5,88.9,..,34.4,34
United States,74.5,80.2,..,93.6,92.7,93,94.9,..,40.5,28
Uruguay,74.3,81.6,24.6,67.6,60.6,68.8,74.7,37,35,24
Uzbekistan,69.7,74,..,38.3,36,65.9,65.9,29,..,33
Vanuatu,69.1,72.3,21.4,..,..,33.9,29.1,..,..,0
"Venezuela, RB",68.3,76,..,77.3,70,55.9,57.1,..,..,22
Vietnam,71.4,79.6,10.6,31.2,30.4,49.9,41.1,51.1,..,30
Virgin Islands (U.S.),76.6,83.2,..,..,..,93.4,93.4,..,..,..
West Bank and Gaza,72.6,75.9,13.4,34.4,15.9,70.3,77.3,10.7,15.5,..
"Yemen, Rep.",64.5,67.9,31.9,..,..,45.4,38.4,6.6,4.5,0
Zambia,61.1,67.2,29,51.7,40.3,34.5,17.8,43.7,28.5,15
Zimbabwe,60,63.2,33.7,59.2,51.7,42.4,20.4,42.5,22.8,32
World,70.6,75.1,..,72.3,64.8,53,54.6,..,..,26
East Asia & Pacific,74,79.1,..,75.9,71.5,57.8,54.8,..,..,21
Europe & Central Asia,74.3,80.6,..,83.7,79.4,80.3,86.1,..,..,31
Latin America & Caribbean,72.6,78.9,..,58.6,52,61.2,63.5,..,..,34
Middle East & North Africa,72.8,76.2,..,56.8,38,69.8,73.8,..,..,17
North America,75,80.6,..,94.2,93.4,91.8,94.2,..,..,29
South Asia,68.6,71.3,..,74.8,64.1,29.2,25.7,..,..,19
Sub-Saharan Africa,60.2,63.7,..,48.4,36.9,30.4,18.8,..,..,26
Low income,62.2,66,..,40,29.9,24.9,13.2,..,..,24
Lower middle income,67.6,71.1,..,62.7,53,38,33.5,..,..,21
Upper middle income,73.4,78.7,..,77,69.3,60.8,60.2,..,..,27
High income,77.7,83.1,..,94.5,92.9,85.9,90.3,..,..,31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
