,Unnamed: 0,country,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,employment_gap,mobilemoney_access_gap,cluster
77,77,Greenland,6090.0,21.35,34.9,30.3,24.0,2.033714285714286,96.8,96.7,100.0,7.1,69.5,2.2625,92.97438939499999,71.74873170999999,0.0,5.700000000000003,0
78,78,Grenada,9840.0,21.35,34.9,30.3,47.0,2.084142857142857,96.8,87.1,94.1,5.5,59.1,2.2625,98.59999847,72.4006,0.0,5.700000000000003,0
79,79,Guam,6090.0,21.35,34.9,30.3,24.0,2.337428571428572,96.8,99.4,100.0,2.8,80.5,2.2625,92.97438939499999,79.84639999999999,0.0,5.700000000000003,0
80,80,Guatemala,4610.0,29.5,31.5,34.5,19.0,2.9255714285714283,96.4,55.8,93.3,29.4,40.7,8.8,79.35002708249999,74.049,14.599999999999994,4.299999999999997,0
81,81,Guinea,930.0,46.5,9.0,30.3,17.0,4.7791428571428565,64.96666666666667,88.95,35.4,2.8,11.4,29.65,35.8107605,61.125,12.4,7.600000000000001,1
82,82,Guinea-Bissau,820.0,25.7,34.9,30.3,14.0,4.554857142857143,34.85,24.3,26.0,2.8,18.0,24.7,45.5811615,57.992,0.0,5.700000000000003,1
83,83,Guyana,6630.0,30.2,34.9,30.3,36.0,2.486571428571428,93.4,88.95,90.3,19.4,37.3,2.2625,85.63973236,69.75619999999999,-1.0,5.700000000000003,0
84,84,Haiti,1330.0,14.9,34.9,30.3,3.0,2.9925714285714284,82.25,88.95,43.3,10.0,31.0,24.5,61.69134903,63.6324,14.9,5.399999999999999,1
85,85,Honduras,2390.0,21.35,54.7,41.0,27.0,2.504142857142857,95.3,88.95,86.5,56.5,32.1,15.955555555555556,86.96847247875,75.08099999999999,7.200000000000003,9.200000000000005,0
86,86,Hungary,16500.0,21.35,48.7,37.6,13.0,1.5171428571428571,100.0,92.6,100.0,2.3,76.8,0.4555555555555556,99.09999847,75.976585366,-4.6000000000000085,6.0,0
87,87,Iceland,72850.0,21.35,34.9,33.0,48.0,1.7642857142857142,100.0,100.0,100.0,0.9,98.3,0.0142857142857142,92.97438939499999,82.791219512,-7.300000000000011,5.700000000000003,0
88,88,India,2120.0,25.3,10.7,13.0,14.0,2.2492857142857146,75.80000000000001,88.95,92.5,3.4,18.2,22.5,71.837776185,69.4042,0.0,6.400000000000006,1
89,89,Indonesia,4050.0,16.3,22.1,30.3,21.0,2.337857142857143,72.39999999999999,88.95,98.1,0.6,32.3,5.472727272727273,95.030100505,71.49000000000001,12.0,-5.199999999999996,0
90,90,Iran Islamic Rep.,5300.0,21.35,34.9,20.5,6.0,2.094,96.8,94.0,99.9,2.5,64.0,0.4142857142857143,84.62557029749999,76.4688,-4.299999999999997,4.900000000000006,0
91,91,Iraq,5740.0,27.9,6.8,30.3,29.0,3.782857142857143,98.8,59.7,99.8,10.1,49.4,1.7,80.199998474,70.4444,-21.099999999999994,6.300000000000001,0
92,92,Ireland,64000.0,21.35,34.9,31.9,23.0,1.772857142857143,100.0,97.3,100.0,0.7,84.1,0.3,92.97438939499999,82.184390244,-12.399999999999991,0.1000000000000085,0
93,93,Isle of Man,83160.0,21.35,34.9,30.3,24.0,2.210857142857143,96.8,97.2,100.0,1.2,59.400000000000006,2.2625,92.97438939499999,74.197036586,0.0,5.700000000000003,0
94,94,Israel,43110.0,21.35,27.3,34.8,28.0,3.0557142857142856,100.0,99.3,100.0,1.4,81.6,0.3874999999999999,92.97438939499999,82.65317073,-5.5,-1.7999999999999972,0
95,95,Italy,34530.0,21.35,34.9,22.3,36.0,1.3114285714285714,100.0,95.8,100.0,0.8,63.1,1.425,99.00202179,83.07560975599999,-9.700000000000005,4.5,0
96,96,Jamaica,5320.0,21.35,34.9,30.3,29.0,1.9955714285714288,98.75,88.95,97.6,41.8,55.1,2.2625,88.09999847,74.3742,-11.600000000000009,5.700000000000003,0
97,97,Japan,41710.0,21.35,34.9,30.3,10.0,1.4085714285714286,100.0,98.6,100.0,0.3,91.7,0.7,92.97438939499999,84.253512196,-2.8999999999999915,0.4000000000000057,0
98,98,Jordan,4410.0,9.7,15.7,30.3,12.0,2.8801428571428573,98.55,85.7,100.0,1.6,66.8,2.2625,97.34062703333332,74.4124,-13.900000000000006,29.7,0
99,99,Kazakhstan,8820.0,7.0,29.6,30.3,27.0,2.837142857142857,99.7,89.3,100.0,4.9,76.4,0.0,99.78163147,72.61200000000001,-2.0,-3.3999999999999986,0
100,100,Kenya,1750.0,22.9,47.5,30.3,22.0,3.594142857142857,66.9,88.95,56.1,4.7,17.8,37.1,80.1340065,66.2668,15.6,8.099999999999994,1
101,101,Kiribati,3350.0,18.4,34.9,30.3,7.0,3.610714285714285,91.6,14.7,98.6,7.5,14.6,1.3,92.97438939499999,68.1048,0.0,5.700000000000003,0
102,102,Korea Rep.,33790.0,21.35,34.9,30.3,19.0,1.0571428571428572,96.8,99.2,100.0,0.7,95.1,0.2,92.97438939499999,82.83658536799999,-4.400000000000006,0.2999999999999971,0
103,103,Kosovo,4640.0,21.35,13.2,15.3,24.0,2.031428571428572,96.8,88.95,99.8,2.3,83.9,0.7857142857142857,92.97438939499999,72.203414634,0.0,17.4,0
104,104,Kuwait,33590.0,21.35,34.9,30.3,2.0,2.080714285714286,96.8,100.0,100.0,1.8,98.0,2.2625,95.88906733166664,75.4016,-1.7000000000000028,9.799999999999995,0
105,105,Kyrgyz Republic,1240.0,12.9,51.2,30.3,20.0,3.157142857142857,98.40000000000002,70.1,100.0,5.1,38.2,1.27,99.58599854,71.39024390200001,-10.900000000000006,2.3000000000000043,0
106,106,Lao PDR,2570.0,32.7,36.5,23.4,22.0,2.7112857142857143,73.9,17.7,93.6,2.8,25.5,12.25,71.47449112000001,67.59060000000001,13.3,-5.799999999999997,1
